lemma,word,part_of_speech,category,meaning,question_id,code,p_0_masked,p_5_masked,p_10_masked,p_15_masked,p_20_masked,p_25_masked,p_30_masked,p_35_masked,p_40_masked,p_45_masked,p_50_masked,p_55_masked,p_60_masked,p_65_masked,p_70_masked,p_75_masked,p_80_masked,p_85_masked,p_90_masked,p_95_masked,p_100_masked
course,Course,NOUN,Technical Term,"Direction, path",0,r009,False,True,False,False,False,True,False,False,True,True,False,False,True,False,False,True,True,True,True,True,True
human,human,ADJ,individual name,Person/being,0,r021,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,True,True,True,True,True,True
event,events,NOUN,Technical Term,Significant Happening,0,r018,False,False,True,False,False,False,False,False,False,True,False,False,True,True,True,True,False,True,False,True,True
become,becomes,VERB,,Transform,0,r005,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,True,True,False,True,True,True
necessary,necessary,ADJ,technical term,Required / Essential,0,r025,False,False,False,True,False,False,False,False,False,True,False,False,True,True,True,True,True,True,True,True,True
one,one,NUM,CARDINAL,,0,r027,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,True,True,True,True,True
people,people,NOUN,organization name,Group of humans,0,r029,False,False,False,False,False,False,False,False,False,False,True,True,False,True,True,True,False,True,True,True,True
dissolve,dissolve,VERB,Technical Term,Disbandment of a Political Union,0,r012,False,False,False,False,False,True,True,False,False,False,True,False,True,False,False,True,True,True,True,True,True
political,political,ADJ,technical term,Related to government and power,0,r030,False,False,False,False,False,True,False,False,False,True,True,False,True,False,False,True,True,True,False,True,True
band,bands,NOUN,Organization Name,Group of people,0,r004,False,False,False,False,False,False,True,False,False,False,True,False,False,True,True,True,False,True,True,True,True
connect,connected,VERB,,Link together,0,r007,False,False,False,False,False,False,False,False,False,True,False,True,True,False,True,False,False,True,False,True,True
assume,assume,VERB,,"Take on, responsibility",0,r003,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,True,False,True,True,True,True
power,powers,NOUN,technical term,Political influence or authority,0,r031,False,False,False,True,False,True,True,False,False,True,True,False,True,True,True,False,True,True,True,False,True
earth,earth,NOUN,Organization Name,Physical Planet,0,r013,False,False,False,True,True,False,False,True,True,True,True,True,False,True,True,True,False,True,True,True,True
separate,separate,ADJ,,Distinct or apart,0,r036,False,False,False,True,False,False,True,False,False,False,False,True,True,False,True,True,True,False,True,True,True
equal,equal,ADJ,Technical Term,Equivalent Status,0,r016,False,False,False,False,False,True,True,True,False,True,True,True,True,True,False,True,True,True,True,True,True
station,station,NOUN,technical term,A fixed location or position,0,r038,False,False,False,False,True,False,False,False,True,False,True,False,True,True,True,True,True,False,True,True,True
God,God,PROPN,Individual Name,Higher power,0,r001,False,False,False,False,False,False,False,True,True,False,True,True,True,True,False,True,True,True,True,True,True
entitle,entitle,VERB,Technical Term,Grant Rights or Authority,0,r015,False,False,False,False,False,False,False,False,True,False,False,True,True,True,True,True,True,True,True,True,True
decent,decent,ADJ,,"Considerate, respectable",0,r010,False,False,True,False,True,False,True,False,False,False,False,False,True,True,False,False,True,True,True,True,True
respect,respect,NOUN,technical term,Esteem or consideration,0,r035,False,False,False,False,False,False,False,False,False,True,True,True,False,True,True,True,False,False,True,True,True
opinion,opinions,NOUN,individual name,Belief/viewpoint of a person,0,r028,False,False,False,False,False,False,False,True,False,False,True,True,True,False,True,True,True,True,True,True,True
mankind,mankind,NOUN,organization name,"Collectively, humans",0,r024,False,False,False,False,False,False,False,True,True,False,False,True,False,False,True,True,True,True,True,True,True
require,requires,VERB,,Demand as necessary,0,r034,False,False,True,False,False,False,True,True,True,False,True,True,True,True,True,False,True,True,True,True,True
declare,declare,VERB,Technical Term,Formal Action,0,r011,False,False,False,False,False,True,False,False,True,False,False,False,True,True,True,True,True,True,True,True,True
cause,causes,NOUN,Technical Term,"Reason, motivation",0,r006,False,False,False,False,True,False,False,False,False,True,True,False,True,False,True,True,True,False,True,True,True
impel,impel,VERB,technical term,Motive / drive ,0,r022,False,True,False,False,False,False,True,False,True,True,False,False,True,True,True,False,True,True,True,True,True
