word,part_of_speech,category,lemma,word_count,index,question_id,mask_col,is_content_word
Total,ADJ,,total,1.0,[0],86078,rationale_edit,True
weight,NOUN,,weight,1.0,[1],86078,rationale_edit,True
of,ADP,,of,1.0,[2],86078,rationale_edit,False
the,DET,,the,1.0,[3],86078,rationale_edit,False
dogs,NOUN,,dog,1.0,[5],86078,rationale_edit,True
=,X,,=,1.0,[6],86078,rationale_edit,False
(,PUNCT,,(,0.0,[7],86078,rationale_edit,False
),PUNCT,,),0.0,[15],86078,rationale_edit,False
=,VERB,,=,1.0,[16],86078,rationale_edit,True
"
",SPACE,,"
",0.0,[18],86078,rationale_edit,False
Avg,PROPN,GPE,Avg,1.0,[19],86078,rationale_edit,True
=,NOUN,,=,1.0,[20],86078,rationale_edit,True
=,SYM,,=,1.0,[22],86078,rationale_edit,False
"
",SPACE,,"
",0.0,[24],86078,rationale_edit,False
Total,ADJ,,total,1.0,[25],86078,rationale_edit,True
weight,NOUN,,weight,1.0,[26],86078,rationale_edit,True
of,ADP,,of,1.0,[27],86078,rationale_edit,False
dogs,NOUN,,dog,1.0,[29],86078,rationale_edit,True
=,NOUN,,=,1.0,[30],86078,rationale_edit,True
or,CCONJ,,or,1.0,[32],86078,rationale_edit,False
"
",SPACE,,"
",0.0,[34],86078,rationale_edit,False
Average,PROPN,,Average,1.0,[35],86078,rationale_edit,True
of,ADP,,of,1.0,[36],86078,rationale_edit,False
dogs,NOUN,,dog,1.0,[38],86078,rationale_edit,True
as,ADP,,as,1.0,[39],86078,rationale_edit,False
per,ADP,,per,1.0,[40],86078,rationale_edit,False
Question,NOUN,,question,1.0,[41],86078,rationale_edit,True
=,SYM,,=,1.0,[42],86078,rationale_edit,False
"
",SPACE,,"
",0.0,[44],86078,rationale_edit,False
Equation,NOUN,ORG,equation,1.0,[45],86078,rationale_edit,True
:,PUNCT,,:,0.0,[46],86078,rationale_edit,False
"
",SPACE,,"
",0.0,[47],86078,rationale_edit,False
4(35,X,,4(35,1.0,[48],86078,rationale_edit,False
),PUNCT,,),0.0,[49],86078,rationale_edit,False
+,CCONJ,,+,1.0,[50],86078,rationale_edit,False
y,PROPN,,y,1.0,[51],86078,rationale_edit,True
=,NOUN,,=,1.0,[52],86078,rationale_edit,True
(,PUNCT,,(,0.0,[54],86078,rationale_edit,False
),PUNCT,,),0.0,[56],86078,rationale_edit,False
",",PUNCT,,",",0.0,[57],86078,rationale_edit,False
or,CCONJ,,or,1.0,[58],86078,rationale_edit,False
y,PROPN,,y,1.0,[59],86078,rationale_edit,True
=,NUM,,=,1.0,[60],86078,rationale_edit,False
.,PUNCT,,.,0.0,[62],86078,rationale_edit,False
CP,PROPN,,CP,1.0,[0],27658,rationale_edit,True
=,PUNCT,,=,0.0,[1],27658,rationale_edit,False
Rs,PROPN,,Rs,1.0,[2],27658,rationale_edit,True
.,PROPN,,.,1.0,[3],27658,rationale_edit,True
",",PUNCT,,",",0.0,[5],27658,rationale_edit,False
MP,PROPN,,MP,1.0,[6],27658,rationale_edit,True
=,PUNCT,,=,0.0,[7],27658,rationale_edit,False
of,ADP,,of,1.0,[12],27658,rationale_edit,False
=,SYM,,=,1.0,[14],27658,rationale_edit,False
Rs,NOUN,PRODUCT,r,1.0,[15],27658,rationale_edit,True
.,PROPN,,.,1.0,[16],27658,rationale_edit,True
"
",SPACE,,"
",0.0,[18],27658,rationale_edit,False
SP,NOUN,NORP,sp,1.0,[19],27658,rationale_edit,True
=,PROPN,,=,1.0,[20],27658,rationale_edit,True
Rs,PROPN,,Rs,1.0,[21],27658,rationale_edit,True
.,PROPN,,.,1.0,[22],27658,rationale_edit,True
",",PUNCT,,",",0.0,[24],27658,rationale_edit,False
Discount,PROPN,,Discount,1.0,[25],27658,rationale_edit,True
=,NOUN,,=,1.0,[26],27658,rationale_edit,True
-,SYM,,-,1.0,[28],27658,rationale_edit,False
460,NUM,,460,1.0,[29],27658,rationale_edit,False
=,SYM,,=,1.0,[30],27658,rationale_edit,False
"
",SPACE,,"
",0.0,[32],27658,rationale_edit,False
Discount,NOUN,,discount,1.0,[33],27658,rationale_edit,True
%,NOUN,,%,1.0,[34],27658,rationale_edit,True
=,NOUN,,=,1.0,[35],27658,rationale_edit,True
*,PROPN,,*,1.0,[37],27658,rationale_edit,True
=,SYM,,=,1.0,[39],27658,rationale_edit,False
(,PUNCT,,(,0.0,[0],54084,rationale_edit,False
A,PRON,,a,1.0,[1],54084,rationale_edit,False
=,NUM,,=,1.0,[2],54084,rationale_edit,False
B,NOUN,,b,1.0,[4],54084,rationale_edit,True
and,CCONJ,,and,1.0,[5],54084,rationale_edit,False
B,NOUN,,b,1.0,[6],54084,rationale_edit,True
=,NOUN,,=,1.0,[7],54084,rationale_edit,True
C,NOUN,,c,1.0,[9],54084,rationale_edit,True
),PUNCT,,),0.0,[10],54084,rationale_edit,False
=,VERB,,=,1.0,[11],54084,rationale_edit,True
A,PROPN,,A,1.0,[12],54084,rationale_edit,True
/,SYM,,/,1.0,[13],54084,rationale_edit,False
B,NOUN,,b,1.0,[14],54084,rationale_edit,True
=,NOUN,,=,1.0,[15],54084,rationale_edit,True
and,CCONJ,,and,1.0,[17],54084,rationale_edit,False
B,PROPN,,B,1.0,[18],54084,rationale_edit,True
/,SYM,,/,1.0,[19],54084,rationale_edit,False
C,PROPN,,C,1.0,[20],54084,rationale_edit,True
=,NUM,,=,1.0,[21],54084,rationale_edit,False
"
",SPACE,,"
",0.0,[23],54084,rationale_edit,False
A,NOUN,,a,1.0,[24],54084,rationale_edit,True
:,PUNCT,,:,0.0,[25],54084,rationale_edit,False
B,NOUN,,b,1.0,[26],54084,rationale_edit,True
=,SYM,,=,1.0,[27],54084,rationale_edit,False
and,CCONJ,,and,1.0,[29],54084,rationale_edit,False
B,NOUN,,b,1.0,[30],54084,rationale_edit,True
:,PUNCT,,:,0.0,[31],54084,rationale_edit,False
C,NOUN,,c,1.0,[32],54084,rationale_edit,True
=,NOUN,,=,1.0,[33],54084,rationale_edit,True
=,SYM,,=,1.0,[35],54084,rationale_edit,False
"
",SPACE,,"
",0.0,[37],54084,rationale_edit,False
A,NOUN,,a,1.0,[38],54084,rationale_edit,True
:,PUNCT,,:,0.0,[39],54084,rationale_edit,False
B,NOUN,,b,1.0,[40],54084,rationale_edit,True
:,PUNCT,,:,0.0,[41],54084,rationale_edit,False
C,NOUN,,c,1.0,[42],54084,rationale_edit,True
=,NUM,,=,1.0,[43],54084,rationale_edit,False
"
",SPACE,,"
",0.0,[45],54084,rationale_edit,False
A;s,PROPN,ORG,A;s,1.0,[46],54084,rationale_edit,True
share,NOUN,,share,1.0,[47],54084,rationale_edit,True
=,PROPN,,=,1.0,[48],54084,rationale_edit,True
*,NUM,,*,1.0,[50],54084,rationale_edit,False
=,NOUN,,=,1.0,[52],54084,rationale_edit,True
Rs,NOUN,,r,1.0,[53],54084,rationale_edit,True
.,PROPN,,.,1.0,[54],54084,rationale_edit,True
"
",SPACE,,"
",0.0,[56],54084,rationale_edit,False
B,NOUN,,b,1.0,[57],54084,rationale_edit,True
's,PART,,'s,1.0,[58],54084,rationale_edit,False
share,NOUN,,share,1.0,[59],54084,rationale_edit,True
