lemma,word,part_of_speech,category,meaning,question_id,code,p_0_masked,p_5_masked,p_10_masked,p_15_masked,p_20_masked,p_25_masked,p_30_masked,p_35_masked,p_40_masked,p_45_masked,p_50_masked,p_55_masked,p_60_masked,p_65_masked,p_70_masked,p_75_masked,p_80_masked,p_85_masked,p_90_masked,p_95_masked,p_100_masked
total,Total,ADJ,,Summation or entirety,86078,r014,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,True,False,True,True,True,True
weight,weight,NOUN,technical term,Heaviness or force of gravity,86078,r016,False,True,True,False,True,False,False,False,True,False,False,False,True,True,True,True,True,False,True,True,True
dog,dogs,NOUN,Individual Name,"Individual animal, often used as a separate entity in the context",86078,r007,False,False,False,False,True,False,False,True,False,True,False,True,False,False,True,False,True,True,True,True,True
=,=,VERB,Technical Term,Mathematical operation representing equivalence or comparison,86078,r001,False,False,False,True,False,False,False,True,True,False,True,True,True,True,False,False,False,True,True,False,True
Avg,Avg,PROPN,GPE,"Abbreviation representing average, denoting a common metric",86078,r003,False,False,False,True,False,True,False,True,False,True,True,True,True,False,False,True,True,True,False,True,True
=,=,NOUN,Technical Term,Mathematical operation representing equivalence or comparison,86078,r001,False,False,False,True,False,False,False,True,True,False,True,True,True,True,False,False,False,True,True,False,True
total,Total,ADJ,,Summation or entirety,86078,r014,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,True,False,True,True,True,True
weight,weight,NOUN,technical term,Heaviness or force of gravity,86078,r016,False,True,True,False,True,False,False,False,True,False,False,False,True,True,True,True,True,False,True,True,True
dog,dogs,NOUN,Individual Name,"Individual animal, often used as a separate entity in the context",86078,r007,False,False,False,False,True,False,False,True,False,True,False,True,False,False,True,False,True,True,True,True,True
=,=,NOUN,Technical Term,Mathematical operation representing equivalence or comparison,86078,r001,False,False,False,True,False,False,False,True,True,False,True,True,True,True,False,False,False,True,True,False,True
Average,Average,PROPN,Individual Name,"Represents an abstract concept, often used as a name",86078,r002,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,True,True,True,True
dog,dogs,NOUN,Individual Name,"Individual animal, often used as a separate entity in the context",86078,r007,False,False,False,False,True,False,False,True,False,True,False,True,False,False,True,False,True,True,True,True,True
question,Question,NOUN,technical term,Queries or inquiries,86078,r011,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False,True,True,True,True,True,True
equation,Equation,NOUN,ORG,Represents a mathematical relationship expressed with symbols and formulas,86078,r008,False,False,False,False,False,False,False,True,False,False,False,True,False,True,True,True,True,True,True,True,True
y,y,PROPN,,Unknown variable,86078,r017,False,False,False,False,False,True,True,False,True,False,True,False,True,True,False,True,True,True,True,True,True
=,=,NOUN,Technical Term,Mathematical operation representing equivalence or comparison,86078,r001,False,False,False,True,False,False,False,True,True,False,True,True,True,True,False,False,False,True,True,False,True
y,y,PROPN,,Unknown variable,86078,r017,False,False,False,False,False,True,True,False,True,False,True,False,True,True,False,True,True,True,True,True,True
CP,CP,PROPN,Organization Name,,27658,r005,False,False,False,True,False,True,False,False,True,False,True,False,True,True,False,False,True,True,True,True,True
Rs,Rs,PROPN,Technical Term,Indian Rupees,27658,r009,False,False,False,False,False,False,False,False,True,True,False,True,False,True,False,True,True,True,True,True,True
.,.,PROPN,Technical Term,"End of Sentence, Period",27658,r003,False,True,False,False,False,False,False,True,False,False,False,True,True,True,False,True,True,False,True,True,True
MP,MP,PROPN,Organization Name,,27658,r007,False,False,False,False,False,False,True,False,False,False,False,True,True,False,True,True,True,True,False,True,True
r,Rs,NOUN,PRODUCT,Cost price,27658,r016,False,False,False,False,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True
.,.,PROPN,Technical Term,"End of Sentence, Period",27658,r003,False,True,False,False,False,False,False,True,False,False,False,True,True,True,False,True,True,False,True,True,True
sp,SP,NOUN,NORP,Selling price,27658,r018,False,False,True,False,False,True,True,False,False,True,False,False,True,True,True,False,False,True,True,True,True
=,=,PROPN,Technical Term,Equals Sign,27658,r004,False,False,False,False,True,True,False,False,False,True,False,True,False,True,True,True,True,True,True,True,True
Rs,Rs,PROPN,Technical Term,Indian Rupees,27658,r009,False,False,False,False,False,False,False,False,True,True,False,True,False,True,False,True,True,True,True,True,True
.,.,PROPN,Technical Term,"End of Sentence, Period",27658,r003,False,True,False,False,False,False,False,True,False,False,False,True,True,True,False,True,True,False,True,True,True
Discount,Discount,PROPN,Organization Name,,27658,r006,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,True,True,True,True,True,True
=,=,NOUN,Technical Term,Equals Sign,27658,r004,False,False,False,False,True,True,False,False,False,True,False,True,False,True,True,True,True,True,True,True,True
discount,Discount,NOUN,technical term,Reduction in the price of a product or service,27658,r012,False,False,False,True,False,False,True,False,False,False,True,False,False,True,True,True,True,True,True,True,True
%,%,NOUN,Technical Term,Percentage,27658,r001,False,False,False,False,False,False,False,False,True,True,True,True,False,True,True,True,True,False,True,True,True
=,=,NOUN,Technical Term,Equals Sign,27658,r004,False,False,False,False,True,True,False,False,False,True,False,True,False,True,True,True,True,True,True,True,True
b,B,NOUN,,A quantity or amount.,54084,r009,False,False,False,False,False,False,False,False,False,True,False,True,True,False,True,False,False,True,True,True,True
b,B,NOUN,,A quantity or amount.,54084,r009,False,False,False,False,False,False,False,False,False,True,False,True,True,False,True,False,False,True,True,True,True
=,=,NOUN,,Represents equality or comparison,54084,r002,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,True,True,True,True,True
c,C,NOUN,,A quantity or amount.,54084,r010,False,False,False,False,False,False,False,False,True,True,True,False,False,True,True,True,True,True,True,True,True
=,=,VERB,,Represents equality or comparison,54084,r002,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,True,True,True,True,True
b,B,NOUN,,A quantity or amount.,54084,r009,False,False,False,False,False,False,False,False,False,True,False,True,True,False,True,False,False,True,True,True,True
