lemma,word,part_of_speech,category,meaning,code,p_20_masked,p_40_masked,p_60_masked,p_80_masked,p_100_masked
we,We,PRON,Organization Name,The team or individuals executing this sales plan simulation,r063,True,False,True,True,True
simulate,simulate,VERB,,Model or replicate a system or process,r052,False,False,True,False,True
sale,sales,NOUN,technical term,the act of selling something,r049,False,False,True,True,True
plan,plan,NOUN,technical term,A proposed scheme or arrangement for accomplishing a specific goal,r035,False,False,False,True,True
recall,recall,NOUN,technical term,the act of retrieving information or a product from the market due to defect,r043,False,True,True,True,True
zx-1000,ZX-1000,ADJ,NORP,The name of a scooter model produced by a company.,r065,False,True,False,True,True
model,model,NOUN,technical term,A specific version or design of a product,r031,False,False,True,True,True
base,based,VERB,,to establish as a foundation,r014,False,True,True,True,True
follow,following,VERB,,To go after or obey instructions,r025,False,False,True,False,True
sale,sales,NOUN,technical term,the act of selling something,r049,False,False,True,True,True
plan,plan,NOUN,technical term,A proposed scheme or arrangement for accomplishing a specific goal,r035,False,False,False,True,True
please,Please,INTJ,,A polite request or expression of courtesy,r037,False,True,False,True,True
fill,fill,VERB,,To make something complete or full,r024,False,True,True,True,True
blank,blanks,NOUN,,empty space,r015,False,True,True,True,True
simulation,simulation,NOUN,technical term,A representation of a real-world system or process,r053,True,True,False,False,True
accord,according,VERB,,to agree,r012,False,True,True,True,True
condition,conditions,NOUN,,a requirement or circumstance for something to happen,r017,False,False,True,True,True
Reference,Reference,PROPN,Technical Term,Document,r006,False,False,False,True,True
Reference,Reference,PROPN,Technical Term,Document,r006,False,False,False,True,True
Sales,Sales,PROPN,Organization Name,Commercial Business,r008,False,True,True,False,True
Plan,Plan,PROPN,Technical Term,Strategy or Action,r004,True,False,False,True,True
Scooter Model:,Scooter Model:,PROPN,PERSON,Product or Specific Item,r009,False,False,True,False,True
ZX-1000,ZX-1000,PROPN,product name,Scooter model produced by Tanaka Vehicles,r011,True,False,False,True,True
Production,Production,PROPN,Technical Term,Manufacturing Process,r005,False,True,False,True,True
