lemma,word,part_of_speech,category,meaning,code,p_20_masked,p_40_masked,p_60_masked,p_80_masked,p_100_masked
we,We,PRON,,"ourselves, us",r057,True,False,True,True,True
simulate,simulate,VERB,technical term,To recreate or represent something as closely as possible,r047,False,False,True,True,True
sale,sales,NOUN,technical term,The act of selling something,r044,False,False,True,True,True
plan,plan,NOUN,technical term,a detailed proposal for doing or achieving something,r031,False,False,True,True,True
recall,recall,NOUN,technical term,"an act of remembering something or summoning it into one's mind,",r039,False,True,False,False,True
zx-1000,ZX-1000,ADJ,NORP,model of a scooter,r059,False,True,False,True,True
model,model,NOUN,technical term,A representation or prototype of something.,r027,False,False,True,True,True
base,based,VERB,,Found the plan on,r013,False,True,False,False,True
follow,following,VERB,organization name,To adhere to instructions or guidelines.,r022,False,False,False,True,True
sale,sales,NOUN,technical term,The act of selling something,r044,False,False,True,True,True
plan,plan,NOUN,technical term,a detailed proposal for doing or achieving something,r031,False,False,True,True,True
please,Please,INTJ,,,r033,False,True,False,True,True
fill,fill,VERB,technical term,To complete or provide content to something.,r021,False,True,True,True,True
blank,blanks,NOUN,,Empty space or location,r014,False,True,True,True,True
simulation,simulation,NOUN,technical term,A representation of a real-world situation,r048,True,True,False,True,True
accord,according,VERB,,"Agree, be in harmony",r012,False,True,False,True,True
condition,conditions,NOUN,higher-level concept,"Requirement, circumstance",r016,False,False,True,True,True
Reference,Reference,PROPN,Technical Term,A point or instance in a text or document that requires attention or further explanation.,r006,False,False,True,True,True
Sales,Sales,PROPN,Technical Term,The act of selling goods or services to customers.,r008,False,True,False,True,True
Plan,Plan,PROPN,Technical Term,A strategic outline for achieving a specific goal or objective.,r004,True,False,False,True,True
Scooter Model:,Scooter Model:,PROPN,PERSON,Specific vehicle model designed for two-wheeled transportation.,r009,False,False,True,False,True
ZX-1000,ZX-1000,PROPN,product name,Scooter model,r011,True,False,False,True,True
Production,Production,PROPN,Technical Term,The manufacturing process of creating goods or products.,r005,False,False,True,True,True
Volume,Volume,PROPN,Technical Term,The amount or quantity of something.,r010,False,True,True,True,True
unit,units,NOUN,,a single item or quantity,r054,False,True,False,True,True
Production,Production,PROPN,Technical Term,The manufacturing process of creating goods or products.,r005,False,False,True,True,True
Plan,Plan,PROPN,Technical Term,A strategic outline for achieving a specific goal or objective.,r004,True,False,False,True,True
unit,units,NOUN,,a single item or quantity,r054,False,True,False,True,True
Domestic Inventory,Domestic Inventory,PROPN,ORG,Inventory of goods within a specific geographical area (domestic). ,r002,True,True,True,False,True
unit,units,NOUN,,a single item or quantity,r054,False,True,False,True,True
project,Projected,VERB,technical term,to estimate or forecast something.,r037,False,False,True,True,True
Revenue,Revenue,PROPN,Technical Term,Income generated from the sale of goods or services.,r007,False,False,True,False,True
ZX-1000,ZX-1000,PROPN,product name,Scooter model,r011,True,False,False,True,True
Domestic Projected,Domestic Projected,PROPN,PERSON,Estimate or forecast specifically related to domestic operations or events.,r003,True,True,True,False,True
Revenue,Revenue,PROPN,Technical Term,Income generated from the sale of goods or services.,r007,False,False,True,False,True
/Reference,/Reference,PROPN,Technical Term,Reference to a specific document or data source.,r001,True,True,True,True,True
Sales,Sales,PROPN,Technical Term,The act of selling goods or services to customers.,r008,False,True,False,True,True
Plan,Plan,PROPN,Technical Term,A strategic outline for achieving a specific goal or objective.,r004,True,False,False,True,True
condition,Conditions,NOUN,higher-level concept,"Requirement, circumstance",r016,False,False,True,True,True
