question_id,question,options,rationale,correct,source,s3_output_context,s3_output_Q,s3_output_choices,s3_conditions,s4_prg_encode_context_0,s4_prg_encode_Q_0,s4_prg_encode_choices_0,s4_prg_encode_context_20,s4_prg_encode_Q_20,s4_prg_encode_choices_20,s4_prg_encode_context_40,s4_prg_encode_Q_40,s4_prg_encode_choices_40,s4_prg_encode_context_60,s4_prg_encode_Q_60,s4_prg_encode_choices_60,s4_prg_encode_context_80,s4_prg_encode_Q_80,s4_prg_encode_choices_80
86078,"The weight of four dogs is determined to be 25 pounds, 31 pounds, 43 pounds and 41 pounds respectively. The weight of a fifth dog is determined to be y pounds. If the average (arithmetic mean) weight of the first four dogs is the same as that of all five dogs what is the value of y?","['31', '33', '35', '37', '39']","Total weight of the 4 dogs = (25+31+43+41) = 140
Avg = 140/4 = 35
Total weight of 5 dogs = 140+y or 4(35)+y
Average of 5 dogs as per Question = 35
Equation:
4(35) + y = 5 (35), or y = 35.
Choose C",2,train.json,"Total weight of the 4 dogs = (25+31+43+41) = 140
Avg = 140/4 = 35
Total weight of 5 dogs = 140+y or 4(35)+y
Average of 5 dogs as per Question = 35
Equation:
4(35) + y = 5 (35), or y = 35.
Choose C","The weight of four dogs is determined to be 25 pounds, 31 pounds, 43 pounds and 41 pounds respectively. The weight of a fifth dog is determined to be y pounds. If the average (arithmetic mean) weight of the first four dogs is the same as that of all five dogs what is the value of y?","['31', '33', '35', '37', '39']",,,"The weight of four dogs is determined to be 25 pounds, 31 pounds, 43 pounds and 41 pounds respectively. The weight of a fifth dog is determined to be y pounds. If the average (arithmetic mean) weight of the first four dogs is the same as that of all five dogs what is the value of y?","['31', '33', '35', '37', '39']",,"The <r010> of four dogs is determined to be 25 pounds, 31 pounds, 43 pounds and 41 pounds respectively. The <r010> of a fifth dog is determined to be y pounds. If the average (<r001> mean) <r010> of the first four dogs is the same as that of all five dogs what is the value of y?","['31', '33', '35', '37', '39']",,"The weight of four dogs is <r003> to be 25 <r006>, 31 <r006>, 43 <r006> and 41 <r006> <r007>. The weight of a fifth dog is <r003> to be y <r006>. If the average (arithmetic mean) weight of the first four dogs is the same as that of all five dogs what is the <r009> of y?","['31', '33', '35', '37', '39']",,"The <r010> of four dogs is determined to be 25 <r006>, 31 <r006>, 43 <r006> and 41 <r006> <r007>. The <r010> of a fifth dog is determined to be y <r006>. If the average (<r001> <r005>) <r010> of the first four dogs is the same as that of all five dogs what is the <r009> of y?","['31', '33', '35', '37', '39']",,"The <r010> of four <r004> is <r003> to be 25 <r006>, 31 <r006>, 43 <r006> and 41 <r006> <r007>. The <r010> of a fifth <r004> is <r003> to be y <r006>. If the average (arithmetic <r005>) <r010> of the first four <r004> is the <r008> as that of all five <r004> what is the <r009> of y?","['31', '33', '35', '37', '39']"
27658,Mahesh marks an article 15% above the cost price of Rs. 540. What must be his discount percentage if he sells it at Rs. 460?,"['18%', '21%', '25.9%', '19%', 'None of these']","CP = Rs. 540, MP = 540 + 15% of 540 = Rs. 621
SP = Rs. 460, Discount = 621 - 460 = 161
Discount % = 161/621 * 100 = 25.9%
ANSWER:C",2,train.json,"CP = Rs. 540, MP = 540 + 15% of 540 = Rs. 621
SP = Rs. 460, Discount = 621 - 460 = 161
Discount % = 161/621 * 100 = 25.9%
ANSWER:C",Mahesh marks an article 15% above the cost price of Rs. 540. What must be his discount percentage if he sells it at Rs. 460?,"['18%', '21%', '25.9%', '19%', 'None of these']",,,Mahesh marks an article 15% above the cost price of Rs. 540. What must be his discount percentage if he sells it at Rs. 460?,"['18%', '21%', '25.9%', '19%', 'None of these']",,<r001> marks an article 15% above the cost price of <r002>. 540. What must be his discount percentage if he sells it at <r002>. 460?,"['18%', '21%', '25.9%', '19%', 'None of these']",,Mahesh <r006> an article 15% above the <r004> price of Rs. 540. What must be his <r005> percentage if he <r009> it at Rs. 460?,"['18%', '21%', '25.9%', '19%', 'None of these']",,Mahesh marks an <r003> 15% above the <r004> price of <r002>. 540. What must be his <r005> <r007> if he sells it at <r002>. 460?,"['18%', '21%', '25.9%', '19%', 'None of these']",,<r001> <r006> an article 15% above the <r004> <r008> of Rs. 540. What must be his <r005> <r007> if he <r009> it at Rs. 460?,"['18%', '21%', '25.9%', '19%', 'None of these']"
54084,"If Rs. 510 be divided among A, B, C in such a way that A gets 2/3 of what B gets and B gets 1/4 of what C gets, then their shares are respectively:","['Rs. 60, Rs. 90, Rs. 389', 'Rs. 60, Rs. 90, Rs. 360', 'Rs. 60, Rs. 90, Rs. 368', 'Rs. 60, Rs. 90, Rs. 329', 'Rs. 60, Rs. 30, Rs. 329']","(A = 2/3 B and B = 1/4 C) = A/B = 2/3 and B/C = 1/4
A:B = 2:3 and B:C = 1:4 = 3:12
A:B:C = 2:3:12
A;s share = 510 * 2/17 = Rs. 60
B's share = 510 * 3/17 = Rs. 90
C's share = 510 * 12/17 = Rs. 360.
Answer:B",1,train.json,"(A = 2/3 B and B = 1/4 C) = A/B = 2/3 and B/C = 1/4
A:B = 2:3 and B:C = 1:4 = 3:12
A:B:C = 2:3:12
A;s share = 510 * 2/17 = Rs. 60
B's share = 510 * 3/17 = Rs. 90
C's share = 510 * 12/17 = Rs. 360.
Answer:B","If Rs. 510 be divided among A, B, C in such a way that A gets 2/3 of what B gets and B gets 1/4 of what C gets, then their shares are respectively:","['Rs. 60, Rs. 90, Rs. 389', 'Rs. 60, Rs. 90, Rs. 360', 'Rs. 60, Rs. 90, Rs. 368', 'Rs. 60, Rs. 90, Rs. 329', 'Rs. 60, Rs. 30, Rs. 329']",,,"If Rs. 510 be divided among A, B, C in such a way that A gets 2/3 of what B gets and B gets 1/4 of what C gets, then their shares are respectively:","['Rs. 60, Rs. 90, Rs. 389', 'Rs. 60, Rs. 90, Rs. 360', 'Rs. 60, Rs. 90, Rs. 368', 'Rs. 60, Rs. 90, Rs. 329', 'Rs. 60, Rs. 30, Rs. 329']",,"If Rs. 510 be divided among A, B, C in such a way that A <r003> 2/3 of what B <r003> and B <r003> 1/4 of what C <r003>, then their shares are respectively:","['Rs. 60, Rs. 90, Rs. 389', 'Rs. 60, Rs. 90, Rs. 360', 'Rs. 60, Rs. 90, Rs. 368', 'Rs. 60, Rs. 90, Rs. 329', 'Rs. 60, Rs. 30, Rs. 329']",,"If Rs. 510 be <r002> among A, B, C in such a way that A gets 2/3 of what B gets and B gets 1/4 of what C gets, <r006> their shares are <r004>:","['Rs. 60, Rs. 90, Rs. 389', 'Rs. 60, Rs. 90, Rs. 360', 'Rs. 60, Rs. 90, Rs. 368', 'Rs. 60, Rs. 90, Rs. 329', 'Rs. 60, Rs. 30, Rs. 329']",,"If Rs. 510 be <r002> among A, B, C in such a <r007> that A <r003> 2/3 of what B <r003> and B <r003> 1/4 of what C <r003>, then their shares are <r004>:","['Rs. 60, Rs. 90, Rs. 389', 'Rs. 60, Rs. 90, Rs. 360', 'Rs. 60, Rs. 90, Rs. 368', 'Rs. 60, Rs. 90, Rs. 329', 'Rs. 60, Rs. 30, Rs. 329']",,"If <r001>. 510 be <r002> among A, B, C in such a <r007> that A gets 2/3 of what B gets and B gets 1/4 of what C gets, <r006> their <r005> are <r004>:","['Rs. 60, Rs. 90, Rs. 389', 'Rs. 60, Rs. 90, Rs. 360', 'Rs. 60, Rs. 90, Rs. 368', 'Rs. 60, Rs. 90, Rs. 329', 'Rs. 60, Rs. 30, Rs. 329']"
13920,"The price of an item is discounted 4 percent on day 1 of a sale. On day 2, the item is discounted another 4 percent, and on day 3, it is discounted an additional 10 percent. The price of the item on day 3 is what percentage of the sale price on day 1?","['82.5%', '89.9%', '87.7%', '86.4%', '83.3%']","Let initial price be 100
Price in day 1 after 4% discount = 96
Price in day 2 after 4% discount = 92.16
Price in day 3 after 10% discount = 82.94
So, Price in day 3 as percentage of the sale price on day 1 will be = 82.94/96*100 => 86.4%
Answer will definitely be (D)",3,train.json,"Let initial price be 100
Price in day 1 after 4% discount = 96
Price in day 2 after 4% discount = 92.16
Price in day 3 after 10% discount = 82.94
So, Price in day 3 as percentage of the sale price on day 1 will be = 82.94/96*100 => 86.4%
Answer will definitely be (D)","The price of an item is discounted 4 percent on day 1 of a sale. On day 2, the item is discounted another 4 percent, and on day 3, it is discounted an additional 10 percent. The price of the item on day 3 is what percentage of the sale price on day 1?","['82.5%', '89.9%', '87.7%', '86.4%', '83.3%']",,,"The price of an item is discounted 4 percent on day 1 of a sale. On day 2, the item is discounted another 4 percent, and on day 3, it is discounted an additional 10 percent. The price of the item on day 3 is what percentage of the sale price on day 1?","['82.5%', '89.9%', '87.7%', '86.4%', '83.3%']",,"The <r004> of an item is discounted 4 percent on day 1 of a sale. On day 2, the item is discounted another 4 percent, and on day 3, it is discounted an additional 10 percent. The <r004> of the item on day 3 is what percentage of the sale <r004> on day 1?","['82.5%', '89.9%', '87.7%', '86.4%', '83.3%']",,"The price of an item is <r001> 4 percent on day 1 of a sale. On day 2, the item is <r001> another 4 percent, and on day 3, it is <r001> an additional 10 percent. The price of the item on day 3 is what <r003> of the sale price on day 1?","['82.5%', '89.9%', '87.7%', '86.4%', '83.3%']",,"The <r004> of an item is discounted 4 percent on day 1 of a <r005>. On day 2, the item is discounted another 4 percent, and on day 3, it is discounted an additional 10 percent. The <r004> of the item on day 3 is what <r003> of the <r005> <r004> on day 1?","['82.5%', '89.9%', '87.7%', '86.4%', '83.3%']",,"The <r004> of an <r002> is <r001> 4 percent on day 1 of a sale. On day 2, the <r002> is <r001> another 4 percent, and on day 3, it is <r001> an additional 10 percent. The <r004> of the <r002> on day 3 is what <r003> of the sale <r004> on day 1?","['82.5%', '89.9%', '87.7%', '86.4%', '83.3%']"
81305,"The average of ten numbers is 8. If each number is multiplied by 12, then what is the average of the new set of numbers?","['8', '12', '20', '96', '120']","The sum of the ten numbers is 8*10 = 80
If each number is multiplied by 12, the new sum is 12*(80).
The average is then 12*8 = 96
The answer is D.",3,train.json,"The sum of the ten numbers is 8*10 = 80
If each number is multiplied by 12, the new sum is 12*(80).
The average is then 12*8 = 96
The answer is D.","The average of ten numbers is 8. If each number is multiplied by 12, then what is the average of the new set of numbers?","['8', '12', '20', '96', '120']",,,"The average of ten numbers is 8. If each number is multiplied by 12, then what is the average of the new set of numbers?","['8', '12', '20', '96', '120']",,"The average of ten numbers is 8. If each number is <r002> by 12, then what is the average of the new set of numbers?","['8', '12', '20', '96', '120']",,"The average of ten <r004> is 8. If each <r004> is <r002> by 12, then what is the average of the new set of <r004>?","['8', '12', '20', '96', '120']",,"The average of ten <r004> is 8. If each <r004> is <r002> by 12, then what is the average of the <r003> <r005> of <r004>?","['8', '12', '20', '96', '120']",,"The <r001> of ten <r004> is 8. If each <r004> is <r002> by 12, <r006> what is the <r001> of the new <r005> of <r004>?","['8', '12', '20', '96', '120']"
18645,"If the sum of the 4th term and the 12th term of an arithmetic progression is 10, what is the sum of the first 15 terms of the progression?","['65', '75', '60', '55', '50']","4th term + 12th term = 10
i.e., (a+3d)+(a+11d) = 10
Now, Sum of first 15 terms = (15/2) * [2a + (15-1)d]
= (15/2) * [2a + 14d]
= (15/2) * 10 --------------- From (1)
=75
Answer : B",1,train.json,"4th term + 12th term = 10
i.e., (a+3d)+(a+11d) = 10
Now, Sum of first 15 terms = (15/2) * [2a + (15-1)d]
= (15/2) * [2a + 14d]
= (15/2) * 10 --------------- From (1)
=75
Answer : B","If the sum of the 4th term and the 12th term of an arithmetic progression is 10, what is the sum of the first 15 terms of the progression?","['65', '75', '60', '55', '50']",,,"If the sum of the 4th term and the 12th term of an arithmetic progression is 10, what is the sum of the first 15 terms of the progression?","['65', '75', '60', '55', '50']",,"If the sum of the 4th <r004> and the 12th <r004> of an arithmetic progression is 10, what is the sum of the first 15 <r004>s of the progression?","['65', '75', '60', '55', '50']",,"If the <r003> of the 4th <r004> and the 12th <r004> of an arithmetic progression is 10, what is the <r003> of the first 15 <r004>s of the progression?","['65', '75', '60', '55', '50']",,"If the <r003> of the 4th term and the 12th term of an arithmetic <r002> is 10, what is the <r003> of the first 15 terms of the <r002>?","['65', '75', '60', '55', '50']",,"If the <r003> of the 4th <r004> and the 12th <r004> of an arithmetic <r002> is 10, what is the <r003> of the first 15 <r004>s of the <r002>?","['65', '75', '60', '55', '50']"
12383,"The average temperature of the town in the first four days of a month was 56 degrees. The average for the second, third, fourth and fifth days was 60 degrees. If the temperatures of the first and fifth days were in the ratio 7 : 8, then what is the temperature on the fifth day ?","['62 degrees', '64 degrees', '65 degrees', '128 degrees', '67 degrees']","Explanation:
Sum of temperatures on 1st, 2nd, 3rd and 4th days = (56 * 4) = 224 degrees ... (1)
Sum of temperatures on 2nd, 3rd, 4th and 5th days - (60 * 4) = 240 degrees ....(2)
Subtracting (1) From (2), we get :
Temp, on 5th day - Temp on 1st day = 16 degrees.
Let the temperatures on 1st and 5th days be 7x and 8x degrees respectively.
Then, 8x - 7x = 16 or x = 16. Answer: D
Temperature on the 5th day = 8x = 128 degrees.",3,train.json,"Explanation:
Sum of temperatures on 1st, 2nd, 3rd and 4th days = (56 * 4) = 224 degrees ... (1)
Sum of temperatures on 2nd, 3rd, 4th and 5th days - (60 * 4) = 240 degrees ....(2)
Subtracting (1) From (2), we get :
Temp, on 5th day - Temp on 1st day = 16 degrees.
Let the temperatures on 1st and 5th days be 7x and 8x degrees respectively.
Then, 8x - 7x = 16 or x = 16. Answer: D
Temperature on the 5th day = 8x = 128 degrees.","The average temperature of the town in the first four days of a month was 56 degrees. The average for the second, third, fourth and fifth days was 60 degrees. If the temperatures of the first and fifth days were in the ratio 7 : 8, then what is the temperature on the fifth day ?","['62 degrees', '64 degrees', '65 degrees', '128 degrees', '67 degrees']",,,"The average temperature of the town in the first four days of a month was 56 degrees. The average for the second, third, fourth and fifth days was 60 degrees. If the temperatures of the first and fifth days were in the ratio 7 : 8, then what is the temperature on the fifth day ?","['62 degrees', '64 degrees', '65 degrees', '128 degrees', '67 degrees']",,"The average temperature of the town in the first four days of a month was 56 degrees. The average for the second, third, fourth and fifth days was 60 degrees. If the temperatures of the first and fifth days were in the ratio 7 : 8, <r004> what is the temperature on the fifth day ?","['62 degrees', '64 degrees', '65 degrees', '128 degrees', '67 degrees']",,"The average temperature of the <r005> in the first four days of a month was 56 degrees. The average for the second, third, fourth and fifth days was 60 degrees. If the temperatures of the first and fifth days were in the <r002> 7 : 8, then what is the temperature on the fifth day ?","['62 degrees', '64 degrees', '65 degrees', '128 degrees', '67 degrees']",,"The <r001> temperature of the town in the first four days of a month was 56 degrees. The <r001> for the second, third, fourth and fifth days was 60 degrees. If the temperatures of the first and fifth days were in the <r002> 7 : 8, <r004> what is the temperature on the fifth day ?","['62 degrees', '64 degrees', '65 degrees', '128 degrees', '67 degrees']",,"The average <r003> of the <r005> in the first four days of a month was 56 degrees. The average for the second, third, fourth and fifth days was 60 degrees. If the <r003>s of the first and fifth days were in the <r002> 7 : 8, <r004> what is the <r003> on the fifth day ?","['62 degrees', '64 degrees', '65 degrees', '128 degrees', '67 degrees']"
36718,"Joe is painting a rectangular room whose dimensions are given by a, b and c meters. Joe takes 4 hours to paint a wall with dimensions a and c. He takes 2 hours to paint a wall with dimensions b and c and 6 hours to paint the ceiling with dimensions a and b. If Joe works at a constant rate and a = 6, then what is the volume of the room?","['18 cubic meters', '24 cubic meters', '36 cubic meters', '30 cubic meters', 'It can’t be determined.']","Time to paint each wall as given in problem:
AC = 4 hours
BC = 2 hours
AB = 6 hours
Since he works at constant rate and it takes him twice as long to paint AC compared to BC
AC=2BC
Plug in 6 for A and you find that B=3
Since painting AB takes 3 times as long compared to BC,
AB=3BC
Plug in 6 for A and 3 for B and you find that C=2
A*B*C=6*3*2=36 cubic meters
Answer: C",2,train.json,"Time to paint each wall as given in problem:
AC = 4 hours
BC = 2 hours
AB = 6 hours
Since he works at constant rate and it takes him twice as long to paint AC compared to BC
AC=2BC
Plug in 6 for A and you find that B=3
Since painting AB takes 3 times as long compared to BC,
AB=3BC
Plug in 6 for A and 3 for B and you find that C=2
A*B*C=6*3*2=36 cubic meters
Answer: C","Joe is painting a rectangular room whose dimensions are given by a, b and c meters. Joe takes 4 hours to paint a wall with dimensions a and c. He takes 2 hours to paint a wall with dimensions b and c and 6 hours to paint the ceiling with dimensions a and b. If Joe works at a constant rate and a = 6, then what is the volume of the room?","['18 cubic meters', '24 cubic meters', '36 cubic meters', '30 cubic meters', 'It can’t be determined.']",,,"Joe is painting a rectangular room whose dimensions are given by a, b and c meters. Joe takes 4 hours to paint a wall with dimensions a and c. He takes 2 hours to paint a wall with dimensions b and c and 6 hours to paint the ceiling with dimensions a and b. If Joe works at a constant rate and a = 6, then what is the volume of the room?","['18 cubic meters', '24 cubic meters', '36 cubic meters', '30 cubic meters', 'It can’t be determined.']",,"<r003> is painting a <r014> <r015> whose dimensions are given by a, b and c meters. <r003> takes 4 hours to paint a wall with dimensions a and c. He takes 2 hours to paint a wall with dimensions b and c and 6 hours to paint the ceiling with dimensions a and b. If <r003> works at a constant rate and a = 6, then what is the volume of the <r015>?","['18 cubic meters', '24 cubic meters', '36 cubic meters', '30 cubic meters', 'It can’t be determined.']",,"Joe is painting a rectangular <r015> whose <r008> are given by a, b and c meters. Joe takes 4 hours to paint a <r019> with <r008> a and c. He takes 2 hours to paint a <r019> with <r008> b and c and 6 hours to paint the ceiling with <r008> a and b. If Joe works at a <r007> <r013> and a = 6, then what is the volume of the <r015>?","['18 cubic meters', '24 cubic meters', '36 cubic meters', '30 cubic meters', 'It can’t be determined.']",,"Joe is painting a rectangular room whose <r008> are <r010> by a, b and c meters. Joe <r016> 4 hours to paint a <r019> with <r008> a and c. He <r016> 2 hours to paint a <r019> with <r008> b and c and 6 hours to paint the <r006> with <r008> a and b. If Joe <r020> at a <r007> <r013> and a = 6, <r017> what is the <r018> of the room?","['18 cubic meters', '24 cubic meters', '36 cubic meters', '30 cubic meters', 'It can’t be determined.']",,"<r003> is <r012> a <r014> room whose <r008> are given by a, b and c <r011>. <r003> <r016> 4 hours to <r012> a wall with <r008> a and c. He <r016> 2 hours to <r012> a wall with <r008> b and c and 6 hours to <r012> the <r006> with <r008> a and b. If <r003> <r020> at a <r007> <r013> and a = 6, <r017> what is the <r018> of the room?","['18 cubic meters', '24 cubic meters', '36 cubic meters', '30 cubic meters', 'It can’t be determined.']"
69327,If X = 2 + 1/(1+1/(1-1/2))then the value of 5x+7/3?,"['9 2/3', '10 1/3', '11', '11 2/3', '14']","X = 2 + 1/(1+1/(1-1/2))
= 2 + 1/(1+2)
= 2 + 1/3
X = 7/3 ==> 5X + 7/3 => 5(7/3) + 7/3
==> 35/3 + 7/3
==> 42/3
==> 14.
E)",4,train.json,"X = 2 + 1/(1+1/(1-1/2))
= 2 + 1/(1+2)
= 2 + 1/3
X = 7/3 ==> 5X + 7/3 => 5(7/3) + 7/3
==> 35/3 + 7/3
==> 42/3
==> 14.
E)",If X = 2 + 1/(1+1/(1-1/2))then the value of 5x+7/3?,"['9 2/3', '10 1/3', '11', '11 2/3', '14']",,,If X = 2 + 1/(1+1/(1-1/2))then the value of 5x+7/3?,"['9 2/3', '10 1/3', '11', '11 2/3', '14']",,If X = 2 + 1/(1+1/(1-1/2))then the value of 5x+7/3?,"['9 2/3', '10 1/3', '11', '11 2/3', '14']",,If X = 2 + 1/(1+1/(1-1/2))then the value of 5x+7/3?,"['9 2/3', '10 1/3', '11', '11 2/3', '14']",,If X = 2 + 1/(1+1/(1-1/2))then the <r001> of 5x+7/3?,"['9 2/3', '10 1/3', '11', '11 2/3', '14']",,If X = 2 + 1/(1+1/(1-1/2))then the <r001> of 5x+7/3?,"['9 2/3', '10 1/3', '11', '11 2/3', '14']"
49968,"What is the average of 1/2, 2/5 and 7/10?","['1/5', '3/10', '8/15', '1/2', '6/5']","Sum of 1/2,2/5,7/10 =16/10
Average = 16/10*1/3 =8/15
Answer C 8/15",2,train.json,"Sum of 1/2,2/5,7/10 =16/10
Average = 16/10*1/3 =8/15
Answer C 8/15","What is the average of 1/2, 2/5 and 7/10?","['1/5', '3/10', '8/15', '1/2', '6/5']",,,"What is the average of 1/2, 2/5 and 7/10?","['1/5', '3/10', '8/15', '1/2', '6/5']",,"What is the average of 1/2, 2/5 and 7/10?","['1/5', '3/10', '8/15', '1/2', '6/5']",,"What is the average of 1/2, 2/5 and 7/10?","['1/5', '3/10', '8/15', '1/2', '6/5']",,"What is the <r001> of 1/2, 2/5 and 7/10?","['1/5', '3/10', '8/15', '1/2', '6/5']",,"What is the <r001> of 1/2, 2/5 and 7/10?","['1/5', '3/10', '8/15', '1/2', '6/5']"
