word,part_of_speech,category,lemma,word_count,index,question_id,mask_col,is_content_word
When,SCONJ,,when,1,[0],0,evidence,False
in,ADP,,in,1,[1],0,evidence,False
the,DET,,the,1,[2],0,evidence,False
Course,NOUN,,course,1,[3],0,evidence,True
of,ADP,,of,1,[4],0,evidence,False
human,ADJ,,human,1,[5],0,evidence,True
events,NOUN,,event,1,[6],0,evidence,True
",",PUNCT,,",",0,[7],0,evidence,False
it,PRON,,it,1,[8],0,evidence,False
becomes,VERB,,become,1,[9],0,evidence,True
necessary,ADJ,,necessary,1,[10],0,evidence,True
for,SCONJ,,for,1,[11],0,evidence,False
one,NUM,CARDINAL,one,1,[12],0,evidence,True
people,NOUN,,people,1,[13],0,evidence,True
to,PART,,to,1,[14],0,evidence,False
dissolve,VERB,,dissolve,1,[15],0,evidence,True
the,DET,,the,1,[16],0,evidence,False
political,ADJ,,political,1,[17],0,evidence,True
bands,NOUN,,band,1,[18],0,evidence,True
which,PRON,,which,1,[19],0,evidence,False
have,AUX,,have,1,[20],0,evidence,False
connected,VERB,,connect,1,[21],0,evidence,True
them,PRON,,they,1,[22],0,evidence,False
with,ADP,,with,1,[23],0,evidence,False
another,PRON,,another,1,[24],0,evidence,False
",",PUNCT,,",",0,[25],0,evidence,False
and,CCONJ,,and,1,[26],0,evidence,False
to,PART,,to,1,[27],0,evidence,False
assume,VERB,,assume,1,[28],0,evidence,True
among,ADP,,among,1,[29],0,evidence,False
the,DET,,the,1,[30],0,evidence,False
powers,NOUN,,power,1,[31],0,evidence,True
of,ADP,,of,1,[32],0,evidence,False
the,DET,,the,1,[33],0,evidence,False
earth,NOUN,,earth,1,[34],0,evidence,True
",",PUNCT,,",",0,[35],0,evidence,False
the,DET,,the,1,[36],0,evidence,False
separate,ADJ,,separate,1,[37],0,evidence,True
and,CCONJ,,and,1,[38],0,evidence,False
equal,ADJ,,equal,1,[39],0,evidence,True
station,NOUN,,station,1,[40],0,evidence,True
to,PART,,to,1,[41],0,evidence,False
which,PRON,,which,1,[42],0,evidence,False
the Laws of Nature and of Nature’s,DET,WORK_OF_ART,the Laws of Nature and of Nature’s,7,"[43, 44, 45, 46, 47, 48, 49, 50]",0,evidence,True
God,PROPN,,God,1,[51],0,evidence,True
entitle,VERB,,entitle,1,[52],0,evidence,True
them,PRON,,they,1,[53],0,evidence,False
",",PUNCT,,",",0,[54],0,evidence,False
a,DET,,a,1,[55],0,evidence,False
decent,ADJ,,decent,1,[56],0,evidence,True
respect,NOUN,,respect,1,[57],0,evidence,True
to,ADP,,to,1,[58],0,evidence,False
the,DET,,the,1,[59],0,evidence,False
opinions,NOUN,,opinion,1,[60],0,evidence,True
of,ADP,,of,1,[61],0,evidence,False
mankind,NOUN,,mankind,1,[62],0,evidence,True
requires,VERB,,require,1,[63],0,evidence,True
that,SCONJ,,that,1,[64],0,evidence,False
they,PRON,,they,1,[65],0,evidence,False
should,AUX,,should,1,[66],0,evidence,False
declare,VERB,,declare,1,[67],0,evidence,True
